證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1324","地球","36,623","302,414","8.21","8.30","8.20","8.25","+0.05","21"
"1325","恆大","10,814,266","885,511,052","81.80","84.30","79.80","81.90","+5.20","6,022"
"1326","台化","4,982,731","350,451,766","70.70","70.80","70.10","70.40","+0.20","2,183"
"1337","再生-KY","3,627,391","15,949,485","4.09","4.43","4.09","4.43","+0.40","854"
"1338","廣華-KY","451,156","22,231,132","50.00","50.00","49.00","49.00","+0.10","329"
"1339","昭輝","194,012","7,862,787","40.60","40.75","40.35","40.35","+0.10","161"
"1340","勝悅-KY","278,886","2,600,941","9.34","9.42","9.28","9.39","+0.05","273"
"1341","富林-KY","2,000","119,500","59.50","60.00","59.50","60.00","+0.50","2"
"1402","遠東新","13,861,260","346,753,455","25.10","25.25","24.85","24.90","+0.15","6,461"
"1409","新纖","3,968,632","42,184,359","10.80","10.85","10.50","10.55","-0.10","1,111"
"1410","南染","88,000","2,649,100","30.05","30.30","29.85","30.30","+0.35","35"
"1413","宏洲","54,818","376,305","6.89","6.90","6.84","6.84","+0.02","29"
"1414","東和","148,275","919,386","6.18","6.25","6.16","6.19","+0.05","60"
"1416","廣豐","171,233","1,773,947","10.35","10.50","10.25","10.35"," 0.00","94"
"1417","嘉裕","700,000","5,495,798","7.94","7.94","7.80","7.88","+0.03","203"
"1418","東華","267","1,534","0.00","0.00","0.00","0.00"," 0.00","2"
"1419","新紡","8,002","307,876","38.30","38.50","38.30","38.50","+0.40","8"
"1423","利華","357,999","3,742,588","10.40","10.55","10.35","10.50","+0.10","66"
"1432","大魯閣","59,046","286,950","4.88","4.88","4.85","4.86","-0.04","26"
"1434","福懋","1,773,992","58,161,882","32.50","32.95","32.45","32.90","+0.60","1,075"
"1435","中福","95,004","778,562","8.23","8.24","8.16","8.21"," 0.00","45"
"1436","華友聯","71,614","2,643,802","37.80","37.80","36.75","37.05"," 0.00","60"
"1437","勤益控","182,209","3,712,222","20.40","20.50","20.25","20.40","+0.05","78"
"1438","裕豐","44","457","0.00","0.00","0.00","0.00"," 0.00","1"
"1439","中和","2,792,900","105,166,485","37.15","38.60","37.00","37.70","+0.80","1,741"
"1440","南紡","780,054","6,695,467","8.59","8.68","8.54","8.65","+0.12","445"
"1441","大東","80,199","577,292","7.20","7.23","7.17","7.21","+0.02","43"
"1442","名軒","137,200","2,221,500","16.30","16.30","16.10","16.20"," 0.00","48"
"1443","立益","102,058","884,642","8.64","8.69","8.50","8.50","-0.14","17"
"1444","力麗","1,201,960","8,428,105","7.04","7.10","6.99","7.00"," 0.00","382"
