證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"2340","光磊","1,163,006","24,495,764","21.35","21.35","20.95","21.10","-0.10","520"
"2342","茂矽","11,259,191","284,890,065","24.75","26.10","24.50","24.90","+0.40","5,041"
"2344","華邦電","25,594,349","344,630,213","13.75","13.75","13.30","13.40","-0.05","6,246"
"2345","智邦","18,327,276","3,817,920,236","199.50","216.00","198.00","212.50","+16.00","11,508"
"2347","聯強","3,762,398","148,737,372","39.50","39.95","39.15","39.50","+0.45","2,084"
"2348","海悅","296,690","15,792,812","52.80","53.50","52.80","53.40","+0.90","180"
"2349","錸德","3,903,891","19,556,963","5.05","5.12","4.96","4.99","-0.01","816"
"2351","順德","250,059","11,259,210","45.20","45.30","44.60","45.10","+0.30","189"
"2352","佳世達","7,858,840","128,904,955","16.40","16.55","16.25","16.50","+0.20","2,209"
"2353","宏碁","9,772,414","157,131,424","16.20","16.20","16.00","16.00"," 0.00","2,921"
"2354","鴻準","2,621,229","143,297,285","54.70","55.00","54.50","54.60"," 0.00","1,651"
"2355","敬鵬","935,628","23,420,514","25.30","25.30","24.70","25.20","+0.25","523"
"2356","英業達","5,144,679","120,377,562","23.70","23.70","23.30","23.30","-0.20","2,318"
"2357","華碩","1,475,058","293,407,063","198.00","200.00","197.00","199.00","+2.00","1,115"
"2358","廷鑫","79,022","996,324","12.40","12.90","12.40","12.65","+0.20","49"
"2359","所羅門","419,932","7,662,207","18.15","18.35","18.10","18.30","+0.20","214"
"2360","致茂","1,372,430","189,347,270","137.00","140.00","134.50","140.00","+5.50","1,117"
"2362","藍天","739,120","23,490,814","31.55","32.00","31.30","32.00","+0.60","393"
"2363","矽統","23,940,253","286,447,071","12.00","12.35","11.70","11.70","-0.10","6,294"
"2364","倫飛","18,093","39,620","2.18","2.20","2.18","2.20","+0.10","129"
"2365","昆盈","1,044,393","8,421,715","8.05","8.11","8.04","8.04","-0.05","264"
"2367","燿華","12,470,829","275,848,102","22.35","22.40","21.90","22.00","-0.25","4,614"
"2368","金像電","110,921,482","3,566,788,263","31.95","32.95","31.25","31.25","-0.25","41,158"
"2369","菱生","5,127,239","51,337,163","9.83","10.30","9.68","10.30","+0.62","1,707"
"2371","大同","8,360,421","176,009,131","21.25","21.30","20.90","20.90","-0.05","2,360"
"2373","震旦行","12,600","1,118,400","88.50","89.00","88.50","89.00","+0.70","15"
"2374","佳能","234,772","2,735,705","11.55","11.80","11.50","11.80","+0.35","139"
"2375","凱美","3,068,753","106,050,868","34.85","34.90","34.30","34.30","-0.15","1,800"
"2376","技嘉","5,034,115","261,142,502","53.10","53.10","51.20","52.20","-0.70","3,106"
"2377","微星","1,890,709","174,935,647","93.00","93.30","91.90","92.70","+0.40","1,223"
"2379","瑞昱","4,009,130","951,737,310","239.50","241.00","235.50","236.50","+0.50","2,587"
"2380","虹光","103,579","368,233","3.56","3.58","3.51","3.56","-0.01","60"
"2382","廣達","10,079,757","633,925,404","63.00","63.20","62.70","62.80","+0.30","3,742"
"2383","台光電","3,005,108","368,125,831","122.00","124.00","121.00","123.50","+1.50","1,778"
"2385","群光","4,050,505","334,668,911","82.50","83.40","82.10","83.30","+1.60","2,244"
"2387","精元","5,827,187","190,922,815","32.50","33.75","31.80","33.30","+1.10","2,680"
"2388","威盛","1,233,662","39,245,051","32.50","32.50","31.50","31.70","-0.30","718"
"2390","云辰","922,223","7,343,060","8.10","8.10","7.90","7.91","-0.13","338"
"2392","正崴","2,479,055","89,922,100","36.30","36.45","36.05","36.30","+0.30","1,352"
"2393","億光","3,287,558","105,323,356","32.50","32.70","31.60","32.30","-0.05","1,770"
"2395","研華","679,900","187,494,800","276.00","278.00","273.00","277.00","+2.00","584"
"2397","友通","121,000","8,830,200","72.70","73.30","72.60","73.20","+0.70","109"
"2399","映泰","440,005","4,097,865","9.35","9.39","9.25","9.25"," 0.00","160"
"2401","凌陽","5,867,043","60,953,507","10.30","10.50","10.20","10.40","+0.15","902"
"2402","毅嘉","825,052","10,814,554","13.20","13.25","13.00","13.15","+0.10","278"
"2404","漢唐","568,551","105,842,037","187.00","187.50","185.50","187.00","+1.50","484"
"2405","浩鑫","1,179,406","11,518,196","9.80","9.91","9.67","9.72","+0.04","410"
"2406","國碩","2,318,022","22,856,560","9.75","10.00","9.69","9.96","+0.23","761"
"2408","南亞科","26,065,038","1,633,392,881","62.80","63.40","61.30","63.20","+1.60","13,281"
"2409","友達","105,789,513","840,570,880","8.03","8.14","7.81","7.82","-0.15","18,546"
"2412","中華電","5,086,238","556,214,029","109.50","109.50","109.00","109.50"," 0.00","2,772"
"2413","環科","159,000","1,811,500","11.50","11.60","11.20","11.40","-0.05","102"
"2414","精技","417,830","9,597,090","22.75","23.10","22.75","22.95","+0.25","218"
"2415","錩新","108,813","1,571,307","14.35","14.55","14.25","14.50","+0.20","62"
"2417","圓剛","3,826,100","45,695,040","11.90","12.10","11.75","12.00","+0.15","1,255"
"2419","仲琦","625,170","12,403,313","19.75","20.00","19.70","19.90","+0.30","290"
"2420","新巨","172,343","5,357,100","31.00","31.20","31.00","31.10","+0.10","112"
"2421","建準","2,794,136","108,630,954","38.85","39.50","38.35","39.00","+0.35","1,689"
"2423","固緯","230,538","5,276,849","22.80","23.05","22.70","23.00","+0.20","157"
"2424","隴華","1,000","19,200","19.20","19.20","19.20","19.20","-0.45","1"
"2425","承啟","308,100","7,760,933","25.45","25.45","24.95","25.35","+0.15","220"
"2426","鼎元","1,681,094","20,878,973","12.40","12.70","12.10","12.70","+0.40","675"
"2427","三商電","522,000","5,251,750","10.10","10.15","10.00","10.15","+0.05","110"
"2428","興勤","1,880,681","153,550,542","81.30","82.80","79.40","82.50","+2.30","1,153"
"2429","銘旺科","193,150","4,230,757","22.25","22.85","21.10","21.85","-0.30","120"
"2430","燦坤","116,082","1,743,180","15.05","15.10","14.95","15.00","+0.05","65"
"2431","聯昌","136,077","1,032,966","7.58","7.62","7.53","7.59","+0.01","79"
"2433","互盛電","111,000","5,756,600","52.00","52.10","51.50","52.00","+0.70","77"
"2434","統懋","4,870","27,569","5.41","6.00","5.41","5.80","-0.14","6"
"2436","偉詮電","2,122,364","55,746,059","26.60","26.60","26.05","26.30","-0.30","1,236"
"2438","翔耀","20,585","139,976","6.50","6.90","6.50","6.90","+0.35","15"
"2439","美律","2,343,578","317,317,608","136.00","136.50","134.00","136.00","+1.00","1,670"
"2440","太空梭","57,355","515,932","8.83","9.12","8.80","9.00","+0.15","29"
"2441","超豐","881,447","38,782,446","43.45","44.75","43.40","44.75","+1.35","530"
"2442","新美齊","722,816","5,676,605","7.98","7.98","7.80","7.81","-0.08","258"
"2443","億麗","189,517","552,997","2.97","2.97","2.90","2.93","-0.04","78"
"2444","兆勁","1,032,019","16,142,195","15.80","15.80","15.50","15.70","+0.10","187"
"2448","晶電","63,212,280","2,498,090,280","40.40","40.45","38.85","39.35","-0.90","27,205"
"2449","京元電子","9,151,431","329,498,620","36.25","36.45","35.75","35.80","-0.30","5,090"
"2450","神腦","136,122","3,848,088","28.30","28.40","28.05","28.40","+0.10","89"
"2451","創見","732,520","50,950,500","69.80","70.00","69.20","69.80"," 0.00","552"
"2453","凌群","713,164","11,961,996","17.00","17.00","16.55","16.75","-0.05","336"
"2454","聯發科","10,769,852","3,988,722,587","374.50","375.00","363.50","375.00","+3.00","7,675"
"2455","全新","1,691,800","147,886,518","88.20","88.20","86.60","87.40","+0.30","1,353"
"2456","奇力新","11,343,393","1,190,582,056","106.00","106.50","103.50","104.50","-0.50","7,676"
"2457","飛宏","757,551","5,222,235","6.84","6.95","6.78","6.90","+0.14","226"
"2458","義隆","9,380,232","896,190,430","95.20","96.70","94.00","96.50","+2.00","6,314"
"2459","敦吉","125,400","4,980,120","39.65","39.85","39.65","39.80","+0.15","80"
"2460","建通","35,600","268,930","7.45","7.64","7.45","7.46","+0.01","32"
"2461","光群雷","453,105","6,291,420","13.95","14.00","13.80","13.90","-0.05","189"
"2462","良得電","22,400","567,480","25.40","25.40","25.20","25.35","+0.05","17"
"2464","盟立","495,840","16,316,232","33.00","33.30","32.70","32.85","-0.15","302"
"2465","麗臺","199,047","1,608,256","7.95","8.30","7.91","8.20","+0.21","115"
"2466","冠西電","58,000","1,786,500","30.60","31.05","30.60","31.05","+0.40","42"
"2467","志聖","817,050","22,291,320","27.30","27.45","27.05","27.45","+0.25","371"
"2468","華經","71,000","888,200","12.60","12.60","12.45","12.50"," 0.00","46"
"2471","資通","5,275,633","136,742,290","26.80","27.00","25.00","25.00","-0.15","2,761"
"2472","立隆電","3,004,611","119,014,889","39.25","40.30","38.90","38.90","+0.10","1,845"
"2474","可成","3,590,817","809,988,142","227.00","227.50","223.00","227.00","+2.00","1,969"
"2476","鉅祥","224,463","4,478,339","20.15","20.15","19.75","19.90","-0.35","130"
"2477","美隆電","88,452","1,847,001","20.90","21.00","20.80","20.80","-0.30","62"
"2478","大毅","13,056,844","1,015,256,504","78.50","79.00","76.50","77.70","-0.50","7,934"
"2480","敦陽科","468,426","28,235,368","60.50","60.70","59.60","60.60","+0.40","330"
"2481","強茂","5,043,099","120,961,630","23.85","24.25","23.65","24.15","+0.30","2,187"
"2482","連宇","96,457","966,423","9.94","10.15","9.92","10.05","+0.11","54"
"2483","百容","47,000","851,500","18.10","18.20","18.05","18.10"," 0.00","23"
"2484","希華","2,954,056","60,065,985","20.20","20.65","19.85","20.20","+0.20","1,296"
"2485","兆赫","2,582,591","40,900,706","15.55","16.00","15.55","15.75","+0.35","1,144"
"2486","一詮","224,543","1,629,466","7.32","7.36","7.18","7.30","+0.06","90"
"2488","漢平","467,914","13,086,780","28.00","28.15","27.60","28.10","+0.70","288"
"2489","瑞軒","1,069,241","7,772,769","7.23","7.31","7.23","7.29","+0.07","380"
"2491","吉祥全","156,867","1,167,286","7.36","7.55","7.34","7.46","+0.12","91"
"2492","華新科","26,753,104","5,781,715,300","217.00","219.50","213.00","213.50","-1.50","18,436"
"2493","揚博","291,500","8,388,474","28.70","28.90","28.65","28.85","+0.05","166"
"2495","普安","178,430","2,057,438","11.55","11.65","11.40","11.60","+0.10","86"
"2496","卓越","38,250","2,322,325","60.90","61.30","60.00","61.30","+0.30","37"
"2497","怡利電","66,000","1,036,700","15.95","15.95","15.55","15.65"," 0.00","47"
"2498","宏達電","4,968,484","149,571,563","30.25","30.55","29.85","29.95","-0.05","2,416"
"2501","國建","906,253","16,781,587","18.35","18.65","18.35","18.55","+0.30","416"
"2504","國產","23,829,561","305,139,879","12.35","13.15","12.35","13.00","+0.80","5,580"
"2505","國揚","11,021,932","264,047,575","22.75","24.50","22.75","23.60","+1.05","4,017"
"2506","太設","18,640","166,260","8.95","8.95","8.89","8.90","+0.01","19"
"2509","全坤建","18,266","373,553","20.45","20.50","20.40","20.45"," 0.00","18"
"2511","太子","547,761","5,253,576","9.55","9.67","9.54","9.60"," 0.00","270"
"2514","龍邦","197,150","2,678,028","13.35","13.75","13.35","13.55","+0.20","126"
"2515","中工","4,038,281","27,818,865","6.84","6.94","6.84","6.90","+0.07","855"
"2516","新建","98,940","448,569","4.53","4.62","4.50","4.52","-0.01","31"
"2520","冠德","864,239","21,824,196","25.45","25.50","25.00","25.10","-0.15","510"
"2524","京城","359,488","11,377,047","31.05","31.90","31.00","31.50","+0.85","150"
"2527","宏璟","281,896","5,537,461","19.65","19.70","19.55","19.70","+0.05","144"
"2528","皇普","105,049","1,995,151","19.20","19.20","18.90","18.95","+0.15","24"
"2530","華建","140,842","2,221,267","15.85","15.85","15.70","15.70","-0.20","71"
"2534","宏盛","2,252,660","38,848,739","16.85","17.80","16.60","17.45","+0.85","987"
"2535","達欣工","824,371","17,376,695","21.00","21.20","21.00","21.15","+0.15","355"
"2536","宏普","173,000","3,675,650","21.10","21.35","21.10","21.25","+0.25","93"
"2537","聯上發","1,167,010","10,156,570","8.64","8.80","8.60","8.76","+0.21","339"
"2538","基泰","233,141","2,157,709","9.26","9.30","9.23","9.25","-0.01","86"
"2539","櫻花建","163,500","5,465,372","33.40","33.50","33.35","33.40","+0.05","105"
"2540","愛山林","30,000","761,000","25.45","25.50","25.10","25.50","+0.25","19"
"2542","興富發","2,236,647","95,604,471","42.60","43.00","42.50","42.85","+0.50","1,421"
"2543","皇昌","11,928","79,716","6.55","6.76","6.55","6.76"," 0.00","11"
"2545","皇翔","123,300","3,966,430","32.30","32.35","31.95","32.30","+0.15","63"
"2546","根基","154,357","5,725,889","36.70","37.40","36.65","37.20","+0.55","105"
"2547","日勝生","1,025,375","10,363,063","10.15","10.20","10.05","10.05"," 0.00","398"
"2548","華固","932,484","82,877,960","88.90","89.20","88.60","88.90","+0.40","621"
"2597","潤弘","32,000","1,921,700","60.00","60.20","59.90","60.00"," 0.00","25"
"2601","益航","3,501,606","33,691,399","9.65","9.69","9.51","9.57","-0.06","772"
"2603","長榮","21,248,642","222,096,227","10.35","10.60","10.25","10.55","+0.35","4,488"
"2605","新興","2,474,612","36,250,138","14.80","14.85","14.50","14.70"," 0.00","711"
"2606","裕民","2,916,512","83,936,748","28.60","29.00","28.50","28.95","+0.45","1,195"
"2607","榮運","715,346","8,988,390","12.55","12.65","12.45","12.55"," 0.00","239"
"2608","嘉里大榮","381,181","15,254,002","39.80","40.20","39.80","40.00","+0.25","274"
"2609","陽明","10,874,675","66,103,870","5.70","6.25","5.70","6.25","+0.56","2,388"
"2610","華航","56,454,275","419,836,984","7.19","7.59","7.19","7.59","+0.47","12,683"
"2611","志信","95,000","566,620","5.98","6.00","5.92","5.99","+0.06","43"
"2612","中航","269,400","6,506,330","24.00","24.30","23.95","24.15","+0.20","164"
"2613","中櫃","156,188","2,074,980","13.35","13.35","12.95","13.30","+0.30","47"
"2614","東森","6,442,497","85,220,597","13.50","13.55","12.95","13.05","-0.25","2,643"
"2615","萬海","2,072,122","34,040,325","16.50","16.60","16.35","16.40"," 0.00","579"
"2616","山隆","50,499","1,483,589","29.40","29.45","29.30","29.35","+0.05","43"
"2617","台航","771,992","11,817,825","15.30","15.45","15.20","15.45","+0.20","273"
"2618","長榮航","47,935,128","504,456,896","10.30","10.65","10.25","10.55","+0.40","12,520"
"2630","亞航","157,000","2,289,350","14.25","15.00","14.10","14.55","+0.45","77"
"2633","台灣高鐵","6,259,269","205,587,140","32.50","33.05","32.45","33.05","+0.80","2,914"
"2634","漢翔","1,878,582","52,299,951","27.95","28.10","27.60","27.85","+0.20","1,092"
"2636","台驊投控","137,267","2,955,089","21.40","21.70","21.40","21.45","+0.05","79"
"2637","慧洋-KY","1,671,110","40,183,634","24.10","24.15","23.95","24.10","+0.25","626"
"2642","宅配通","475,104","14,349,401","30.70","30.70","30.05","30.15","-0.20","304"
"2701","萬企","10,010","114,010","11.40","11.40","11.35","11.35","-0.10","19"
"2702","華園","153,009","1,866,458","12.20","12.30","12.05","12.20","+0.30","116"
"2704","國賓","410,000","10,245,750","24.95","25.10","24.80","24.80","-0.15","144"
"2705","六福","405,311","4,106,667","10.10","10.20","10.05","10.10","+0.10","145"
"2706","第一店","18,408","231,489","12.50","12.60","12.45","12.60","-0.10","20"
"2707","晶華","407,846","52,718,980","131.00","131.00","127.00","129.00","+0.50","356"
"2712","遠雄來","6,000","187,200","31.20","31.20","31.20","31.20","-0.90","5"
"2722","夏都","4,000","88,950","22.35","22.35","22.20","22.20","+0.20","3"
"2723","美食-KY","631,188","54,141,600","85.90","86.80","84.80","86.00","+1.00","503"
"2727","王品","521,586","33,658,776","64.10","65.00","63.80","65.00","+1.50","453"
"2731","雄獅","641,450","43,842,005","67.70","69.30","67.00","69.00","+2.70","434"
"2739","寒舍","141,202","3,166,765","21.90","22.60","21.90","22.55","+0.70","66"
"2748","雲品","66,000","2,716,100","41.20","41.40","41.00","41.25","+0.45","56"
"2801","彰銀","5,088,964","98,949,634","19.50","19.60","19.35","19.50","+0.10","1,119"
"2809","京城銀","829,915","25,242,006","30.50","30.80","30.20","30.40","-0.10","423"
"2812","台中銀","6,476,831","72,290,049","11.15","11.20","11.10","11.20","+0.10","1,561"
"2816","旺旺保","231,610","4,485,859","19.25","19.50","19.15","19.45","+0.35","148"
"2820","華票","918,247","13,340,893","14.50","14.60","14.45","14.60","+0.15","422"
"2823","中壽","11,141,351","221,566,643","20.00","20.10","19.80","19.80","+0.05","3,635"
"2832","台產","56,602","1,098,041","19.40","19.45","19.35","19.45","+0.05","54"
"2834","臺企銀","15,914,162","164,829,243","10.35","10.45","10.30","10.35","+0.05","3,027"
"2836","高雄銀","414,880","3,919,682","9.49","9.49","9.40","9.48","+0.04","151"
"2838","聯邦銀","1,239,907","12,941,454","10.40","10.50","10.40","10.50","+0.15","372"
"2838A","聯邦銀甲特","253,000","13,174,500","52.20","52.30","51.90","52.20"," 0.00","177"
"2841","台開","4,714,750","32,832,993","7.02","7.02","6.87","6.89","+0.05","1,029"
"2845","遠東銀","2,875,356","29,735,977","10.35","10.40","10.30","10.40","+0.10","692"
"2849","安泰銀","92,750","1,304,725","14.00","14.25","13.80","14.10","+0.15","69"
"2850","新產","131,639","4,704,438","35.50","35.90","35.50","35.90","+0.40","90"
"2851","中再保","175,116","3,104,656","17.85","17.85","17.65","17.75"," 0.00","97"
"2852","第一保","95,017","1,332,589","14.05","14.10","13.90","14.10"," 0.00","53"
"2855","統一證","2,746,089","35,581,559","12.95","13.05","12.85","13.05","+0.10","491"
"2867","三商壽","3,234,860","30,221,038","9.34","9.38","9.31","9.32","+0.02","722"
"2880","華南金","20,242,198","381,188,662","18.75","18.95","18.70","18.90","+0.55","5,947"
"2881","富邦金","7,655,849","308,068,279","40.45","40.45","40.05","40.30","+0.20","2,829"
"2881A","富邦特","95,561","6,162,927","64.60","64.60","64.40","64.50"," 0.00","86"
"2881B","富邦金乙特","57,148","3,568,482","62.40","62.70","62.40","62.70","+0.40","89"
"2882","國泰金","11,350,825","431,772,491","38.20","38.20","37.90","38.00"," 0.00","4,348"
"2882A","國泰特","301,348","18,863,746","62.50","62.70","62.50","62.70","+0.20","128"
"2882B","國泰金乙特","107,074","6,688,895","62.40","62.60","62.20","62.60","+0.20","27"
"2883","開發金","40,412,097","352,656,494","8.65","8.77","8.65","8.76","+0.18","7,078"
"2884","玉山金","22,347,065","588,999,608","26.40","26.50","26.20","26.40","+0.20","6,446"
"2885","元大金","37,222,846","611,038,186","16.50","16.55","16.30","16.40"," 0.00","6,582"
"2886","兆豐金","27,855,091","815,529,605","29.05","29.45","29.00","29.45","+0.75","12,271"
"2887","台新金","18,461,807","222,744,142","12.10","12.15","12.00","12.05","+0.05","4,104"
"2887E","台新戊特","122,706","6,567,939","53.40","53.60","53.40","53.60","+0.20","36"
"2887F","台新戊特二","126,388","6,559,235","51.50","52.00","51.50","52.00","+0.30","47"
"2888","新光金","38,298,589","318,398,344","8.34","8.37","8.27","8.30","+0.04","5,185"
"2888A","新光金甲特","56,886","2,508,343","44.15","44.15","44.05","44.05"," 0.00","33"
"2889","國票金","3,037,707","32,632,811","10.75","10.80","10.70","10.75","+0.05","868"
"2890","永豐金","11,095,043","127,873,355","11.60","11.65","11.45","11.55","+0.05","3,686"
"2891","中信金","41,065,464","794,288,634","19.15","19.50","19.10","19.50","+0.45","12,380"
"2891B","中信金乙特","9,192","602,875","64.20","65.80","64.20","65.80"," 0.00","7"
"2891C","中信金丙特","22,322","1,389,614","62.30","62.30","62.10","62.30","-0.10","20"
"2892","第一金","22,160,857","470,585,456","21.20","21.30","21.15","21.30","+0.30","7,639"
"2897","王道銀行","798,442","5,580,204","6.96","7.00","6.96","7.00","+0.04","173"
"2897A","王道銀甲特","56,420","569,884","10.10","10.10","10.10","10.10"," 0.00","22"
"2901","欣欣","2,150","47,882","22.25","22.25","22.25","22.25","+0.05","3"
"2903","遠百","985,260","22,629,159","23.00","23.15","22.80","22.90","+0.05","422"
"2904","匯僑","94,089","2,173,572","23.35","23.35","23.00","23.10","-0.25","62"
"2905","三商","1,026,071","22,075,017","21.60","21.65","21.40","21.55","+0.05","447"
"2906","高林","25,502","269,171","10.50","10.60","10.45","10.60","-0.05","11"
"2908","特力","180,362","3,354,122","18.50","18.85","18.40","18.85","+0.40","88"
"2910","統領","8,000","236,150","29.20","30.15","29.10","30.15","+0.70","8"
"2911","麗嬰房","66,000","395,010","6.11","6.11","5.91","6.00","-0.05","42"
"2912","統一超","1,575,904","469,200,392","294.00","299.50","294.00","299.50","+5.50","1,253"
"2913","農林","930,384","12,970,330","13.85","14.00","13.85","13.95","+0.10","249"
"2915","潤泰全","2,247,610","150,500,921","66.80","67.50","66.30","67.10","+0.30","1,453"
"2923","鼎固-KY","44,000","1,042,600","23.80","23.85","23.55","23.70","-0.20","29"
"2929","淘帝-KY","412,947","27,975,827","68.00","68.50","67.00","68.40","+1.00","362"
"2936","客思達-KY","2,000","28,000","14.00","14.00","14.00","14.00","+0.30","2"
"2939","凱羿-KY","282,200","44,665,200","158.50","160.00","156.50","157.00","-2.00","239"
"3002","歐格","178,000","1,893,800","10.55","10.70","10.55","10.60","+0.05","56"
"3003","健和興","856,250","32,555,400","38.00","38.45","37.70","37.75","+0.30","510"
"3004","豐達科","642,054","35,726,771","54.10","57.30","53.70","56.50","+3.00","498"
"3005","神基","966,180","42,201,999","44.25","44.25","43.55","43.65","-0.05","597"
"3006","晶豪科","20,200,380","805,961,753","38.35","40.50","38.25","40.10","+2.30","9,917"
"3008","大立光","700,553","2,711,986,424","3,910.00","3,910.00","3,835.00","3,860.00"," 0.00","798"
"3010","華立","475,252","24,827,655","52.20","52.90","52.00","52.90","+1.00","314"
"3011","今皓","68,000","361,780","5.40","5.40","5.27","5.27","-0.11","30"
"3013","晟銘電","277,000","3,470,900","12.25","12.75","12.25","12.40","+0.20","122"
"3014","聯陽","1,504,348","69,529,023","46.25","46.50","45.75","46.35","+0.25","925"
"3015","全漢","2,067,917","48,911,339","24.20","24.40","23.05","23.70","-0.65","1,129"
"3016","嘉晶","3,580,471","182,339,821","50.70","51.40","50.40","50.50","+0.30","2,340"
"3017","奇鋐","32,110,445","1,284,794,027","39.45","40.80","39.00","39.75","+1.10","17,204"
"3018","同開","692,731","12,001,638","16.40","17.70","16.40","17.70","+1.60","365"
"3019","亞光","3,511,420","249,039,220","71.90","71.90","70.30","70.40"," 0.00","2,349"
"3021","鴻名","21,011","278,746","13.30","13.30","13.20","13.25","-0.05","12"
"3022","威強電","274,821","9,455,524","34.30","34.75","34.00","34.75","+0.45","201"
"3023","信邦","4,480,949","643,383,054","142.00","147.00","139.00","147.00","+8.00","3,441"
"3024","憶聲","136,577","986,521","7.29","7.30","7.11","7.23","+0.02","61"
"3025","星通","186,048","3,771,814","20.30","20.85","19.85","20.15","-0.05","115"
"3026","禾伸堂","11,206,919","1,359,862,118","119.00","125.00","117.50","122.00","+4.00","7,992"
"3027","盛達","92,525","692,936","7.39","7.55","7.39","7.54","+0.15","54"
"3028","增你強","123,010","2,253,735","18.35","18.35","18.25","18.35"," 0.00","70"
"3029","零壹","2,914,609","98,263,056","33.30","34.15","33.20","34.00","+0.60","1,688"
"3030","德律","279,840","14,052,447","50.10","50.60","50.00","50.30","+0.20","197"
"3031","佰鴻","570,465","8,581,431","15.30","15.30","14.90","14.90","-0.35","295"
"3032","偉訓","273,051","7,082,320","25.85","26.05","25.80","25.95","+0.10","99"
"3033","威健","356,349","5,209,167","14.60","14.70","14.50","14.70","+0.20","226"
"3034","聯詠","6,440,741","1,135,064,880","178.00","179.50","174.00","179.50","+1.50","4,389"
"3035","智原","2,276,298","97,506,444","43.00","43.35","42.20","42.95","+0.15","1,545"
"3036","文曄","2,062,977","77,838,624","37.60","37.90","37.55","37.75","+0.35","859"
"3037","欣興","45,808,301","1,794,585,004","39.00","39.55","38.50","39.45","+1.15","20,217"
"3038","全台","10,236,500","196,747,099","19.10","19.70","18.85","18.90","-0.10","3,880"
"3040","遠見","2,605,118","75,574,430","29.40","29.40","29.00","29.30","+0.20","68"
"3041","揚智","1,479,558","22,233,954","15.10","15.15","14.90","14.95"," 0.00","628"
"3042","晶技","17,793,462","1,160,143,390","63.60","66.50","63.60","64.60","+1.30","10,815"
"3043","科風","1,055,127","1,424,221","1.25","1.37","1.25","1.37","+0.12","69"
"3044","健鼎","1,462,907","151,225,186","104.50","104.50","102.50","104.50","+0.50","1,056"
"3045","台灣大","2,553,944","274,599,452","108.00","108.00","107.00","108.00"," 0.00","937"
"3046","建碁","14,294","139,388","10.00","10.00","9.70","9.90","+0.20","14"
"3047","訊舟","860,594","6,886,654","7.91","8.10","7.87","8.09","+0.19","298"
"3048","益登","583,100","9,564,139","16.60","16.60","16.30","16.45"," 0.00","291"
"3049","和鑫","5,645,378","58,449,849","10.40","10.50","10.20","10.20","-0.10","1,476"
"3050","鈺德","565,999","5,365,880","9.48","9.58","9.39","9.48","+0.12","221"
"3051","力特","46,687","143,081","3.09","3.09","3.02","3.05","-0.03","17"
"3052","夆典","576,201","6,191,500","10.75","10.80","10.60","10.75","+0.10","211"
"3054","立萬利","5,000","122,100","24.45","24.45","24.40","24.40","-0.20","5"
"3055","蔚華科","53,400","1,505,939","28.50","28.50","28.10","28.10","-0.35","48"
"3056","總太","1,535,377","47,824,158","31.05","31.35","30.90","31.30","+0.35","822"
"3057","喬鼎","330,261","1,498,431","4.62","4.62","4.48","4.50","-0.04","152"
"3058","立德","115,312","665,038","5.79","5.80","5.70","5.80","+0.10","50"
"3059","華晶科","599,525","11,432,375","19.20","19.20","18.80","19.00","+0.20","352"
"3060","銘異","6,358,225","83,350,842","12.90","13.60","12.70","12.75","+0.25","2,656"
"3062","建漢","7,480,054","110,581,248","14.50","15.15","14.30","14.80","+0.80","3,048"
"3090","日電貿","1,861,588","90,428,991","48.70","48.90","48.25","48.40"," 0.00","1,259"
"3094","聯傑","262,380","4,421,501","16.75","17.00","16.70","16.75"," 0.00","139"
"3130","一零四","5,100","770,850","150.50","152.00","150.50","152.00","+1.00","6"
"3149","正達","531,904","3,330,753","6.20","6.40","6.16","6.21","+0.05","202"
"3164","景岳","95,004","2,265,800","24.30","24.30","23.40","23.40","-0.70","72"
"3167","大量","29,000","1,159,250","39.70","40.10","39.70","40.00","+0.10","17"
"3189","景碩","4,500,685","226,199,300","50.50","50.80","49.70","50.00","-0.40","2,792"
"3209","全科","580,088","11,053,081","18.85","19.25","18.80","19.20","+0.35","264"
"3229","晟鈦","76,011","707,959","9.50","9.50","9.21","9.22","-0.21","42"
"3231","緯創","11,056,675","295,831,011","26.70","26.90","26.55","26.90","+0.40","4,746"
"3257","虹冠電","73,417","3,827,224","51.90","52.70","51.70","52.50","+0.90","50"
"3266","昇陽","499,326","6,622,452","13.40","13.80","13.05","13.20","+0.15","195"
"3296","勝德","14,000","184,450","13.25","13.25","13.00","13.20","+0.10","12"
"3305","昇貿","69,059","1,317,528","19.30","19.30","19.00","19.15","+0.05","51"
"3308","聯德","3,100","15,584","5.00","5.05","5.00","5.05"," 0.00","5"
"3311","閎暉","229,733","6,033,171","26.10","26.50","25.70","26.50","+0.15","157"
"3312","弘憶股","341,204","5,096,285","14.95","15.00","14.85","14.95"," 0.00","130"
"3321","同泰","300,797","2,579,632","8.65","8.65","8.38","8.60"," 0.00","110"
"3338","泰碩","30,950,056","3,027,934,244","92.50","99.90","92.40","99.20","+8.30","17,713"
"3346","麗清","193,287","4,828,475","25.55","25.55","24.80","24.90","-0.20","122"
"3356","奇偶","272,952","5,688,306","20.80","21.25","20.65","20.75","+0.10","175"
"3376","新日興","1,921,575","248,217,175","127.00","130.50","126.50","129.50","+3.50","1,272"
"3380","明泰","5,041,683","109,164,880","21.50","21.95","21.35","21.95","+0.80","2,328"
"3383","新世紀","66,587","309,197","4.73","4.85","4.61","4.68","-0.06","44"
